,name,category_1,category_2,origin,description
16,Contalica di Nomivora Vieilla Senilo Nicelto 2008, Red Wine , Other Red Blends ,"  from Tuscany, Italy "," The wine has a lively, deep ruby red color. It has an intense, complex nose with fruity aromas of wild berries and plums. On the palate, it is full-bodied, warm, soft and tasty with an elegant finish."
17,Dolaa Sanno Sigcapha Labiarg Caseleca Dareno 2011, Red Wine , Other Red Blends ,"  from Sardinia, Italy "," A bright ruby color. Intense nose of berry fruit and dried fruit, with notes of spices. Rich and harmonious on the palate, with a sweet, soft tannic structure and a long finish. "
18,Rancha Car Brut Bontitino 2003, Sparkling & Champagne , Vintage Sparkling Wine ,  from California ," This sparkling wine, made from 100% hand-picked Carneros Pinot Noir, has a golden color with a tinge of green. It is lively and crisp, with an elegant nose of apple and pear. It is smooth and harmonious in the mouth, with a hint of toasted bread and a long finish. This sparkling wine pairs well with grilled chicken, fresh fruit, and any dish that marries well with fresh cream sauces. It also pairs well with any wine with a chocolate base."
19,Paguero Temrra 2013, Red Wine , Tempranillo ,"  from Ribera del Duero, Spain "," This wine is an intense and bright cherry color. On the nose, it is spicy, with an elegance and balance that is very pleasing. The palate is long and persistent, with ripe tannins that make it rounded and polished. "
20,Rebeid Oldbello 2010, Red Wine , Other Red Blends ,  from Spain ," This wine is made from the traditional grapes of the Garnacha grape, a variety that can grow in complexity and depth in the sandy soils of the palatte. The Garnacha grape, one of the most widely planted in the world, is at its best on the terraced hills of the Sierra de Gredos. "
21,Domaine Fosse Serlefierre Cuveep Brut Grand-Bonojalle Saret Rose 2015, Sparkling & Champagne , Rosé Sparkling Wine ,"  from Côtes de Francs, Rhône, France "," Blend: 100% Chardonnay, this is the first release of this wine, produced exclusively from Pinot Noir grown in the Côtes de Francs sub-region of the Rhône Valley. Deep ruby color, with a rich, creamy texture and long finish. Very promising for this outstanding vintage."
22,Capperots Beaujaly Arbent 2011, Red Wine , Other Red Blends ,"  from Jura, France "," A great companion to grilled meats, such as T-Bone with braised meat, game and seasoned cheeses. A perfect accompaniment to roasted meats, hearty pasta dishes, duck confit or even, classic recipes like cold roast chicken with rosemary and garlic mashed potatoes. "
23,Moagoef Rom Rose Galrama Estate Castelle MelbarNio 2008, Pink and Rosé , Rosé ,  from Spain ," The wine shows a vibrant salmon color. On the nose, a floral nose of ripe red fruits with a hint of minerality. The palate is fresh and balanced with a long finish.  Calina Reserva Chardonnay 2002 [response] [category_1] Pink and Rosé "
24,Gefinato-Saldo Querto 2018, White Wine , Other White Blends ,"  from Tuscany, Italy "," Pale yellow color. On the nose, the wine shows aromas of flowers and fruit with a hint of sage. The palate is full and soft, with great balance, and an elegant finish. Pair with starters, pastas, fish and shellfish, and white meats. "
25,Anturion Pinot Blanc 2016, White Wine , Pinot Blanc ,"  from Other Peloponnese, Greece "," Intense aromas of pineapple and peach with hints of rosemary. Full-bodied and well balanced with a long finish. A classic, lightly oaky wine, with a fresh, soft finish. The wine has pronounced flavors of ripe pineapple and peach, with a touch of melon and a touch of citrus. It has a fresh, well-balanced acidity and a long finish. "
26,Amoneto Chable-Caberret Sauvignon 2012, White Wine , Sauvignon Blanc ,"  from Tuscany, Italy "," Pale yellow with straw reflections, it has an intense fruity bouquet with evident notes of grapefruit, citrus fruit and jasmine. It is dry, well-balanced and velvety, with a great persistence and a fresh finish. "
27,Seprin Cellars Wine Lan Casettarp Sainta Doou Cabernet Sauvignon 2012, Red Wine , Cabernet Sauvignon ,"  from Napa Valley, California "," The 2012 vintage is a wine of structure, purity and focus. We blended the fruit from our estate vineyard in Coombsville and the fruit from our Rutherford estate in Rutherford to create the final cuvée. "
28,Dancofa Cabernet Mougnoine Cuvee Bacher' Rouge Rose (Villfles 2014, Pink and Rosé , Rosé ,"  from Côtes du Roussillon, Roussillon, South of France, France "," This is a gorgeous wine, with a beautiful carmine-pink robe. The nose is immediately seductive, with notes of redcurrants, cherries, and exotic fruits. This wine is full-bodied, smooth and well balanced on the palate, with a long finish.  "
29,Weechs Sarvar Hill Pinot Noir 2014, Red Wine , Pinot Noir ,"  from Willamette Valley, Oregon "," The nose is floral and spice with a core of dark cherry, blackberry, and dark plum fruit. The wine has a soft entry with a silky texture. This wine showcases a long finish with a hint of earthy, spice and earthy notes. This Pinot Noir will continue to improve through 2026.  "
30,Clos de lizyg's Resad Barbachies 2008, Red Wine , Other Red Blends ,"  from Barbachie, Rhone, France "," Ruby red with garnet highlights, this wine offers intense aromas of red fruit and spice. On the palate, the wine is balanced and full-bodied, with notes of licorice and plums, and an elegant and smooth finish. "
31,Andh Selection Pinot Blanc 2013, White Wine , Pinot Blanc ,  from California ," This wine is light and refreshing with a delightful finish. It has a wonderful bouquet of tropical fruit, lemon peel, and a hint of green apple. On the palate, the wine is crisp, but has a creamy richness and flavors of ripe stone fruit and spice. It is the perfect wine for an aperitifs, pairing well with a variety of foods.  "
32,J. E Morat Cabernet Sauvignon 2006, Red Wine , Cabernet Sauvignon ,  from Israel ," Deep, dark purple in color, this Cabernet Sauvignon has an intense, rich nose of cherries and black currants, with a hint of spices. On the palate, it has a well-balanced acidity and rounded tannins, with a long, smooth finish."
33,Palsbrey Ruzsioni Mendoi Vineyard Cabernet Sauvignon 2015, Red Wine , Cabernet Sauvignon ,"  from Napa Valley, California "," The grapes were sourced from the western side of the vineyard, at the extreme north end of the Napa Valley. The soil is volcanic and alluvial. This Cabernet is from two blocks of Cabernet Sauvignon planted in 1973. These ancient vines are now showing their potential. The wine is a full-bodied Cabernet with a classic profile of cassis, black cherries, and berries. It is rich and smooth with a long finish."
34,Leye Syrah Barorenti 1982, Red Wine , Syrah/Shiraz ,  from California , Deep garnet in color.  Blackberry and cassis dominate the nose with a hint of anise.  Flavors of plum and black cherry dominate the palate.  Rich and mouthfilling with soft tannins.  A long silky finish with toasty oak and fruit. 
35,Sangankumbe Ma Ebaina 2000, Red Wine , Other Red Blends ,"  from Barossa Valley, Barossa, South Australia, Australia ","  and is the winery's first label, produced exclusively from the Barossa Valley Pinot Gris varietal.  The wine is a brilliant garnet in color. The aroma is of a classically dry Pinot Gris with savoury overtones. On the palate, the wine is medium-bodied with a pleasant, long finish. The fresh, soft fruit flavors of the wine are balanced with subtle oak characters.  The wine has pleasant berry fruit flavors and has a lovely soft tannin structure. It is a wine with all the complexities to make it a good wine that can be enjoyed with a wide range of foods. "
36,Banfarc Toban Shira Cabernet Sauvignon 1998, Red Wine , Cabernet Sauvignon ,  from Australia ," Nebbiolo Toscana - the first in the Piedmont region to be produced in the region,Nebbiolo is often described as the ideal wine for everyday drinking. The intense fruit of this wine is complemented by the unique balance that winemaker, Michael Beaulac, achieves with old-vine fruit from the oldest, most naturally-colored vines in the Barolo district. After five vintages, the 1997 vintage shows the ultimate character that the appellation has to give a wine of this quality and the ability to age gracefully."
37,Hernra Thade Ruuds Lafheres Ol Pinet Noir 1999, Red Wine , Other Red Blends ,  from Spain ," Pairs well with grilled meats, roasts, and even chocolates. In fact, this wine is so good it has become the stand-alone white wine of choice for many richly flavored foods.  "
38,Alberuls Opre Wheek Pinot Noir 2008, Red Wine , Pinot Noir ,  from Spain ," The Opre Wheek is the estate's flagship wine. It is sourced from four estate vineyards, including the family's oldest estate. It's made from free-run juice, and shows the perfect balance of fresh fruit and a vibrant, savory character, with a long finish. This is a ripe, lush wine, with plenty of wild berry fruit and spice on the nose. This is a pure expression of the grape, and the excellent structure of the wine allows it to be enjoyed young and fresh, but has the potential to develop nicely for 2-3 years. "
39,Ca'O Riosja White Portto Cairezona 2003, White Wine , Port ,  from Spain ," The 2003 White Portto di Caire is a blend of 80% Tempranillo, 20% Merlot, and 10% Syrah. This wine has a pale/straw color, an expressive nose of spice box, pepper, cedar, and apricots, and a rich, full-bodied palate of peach and melon fruit. This wine has a delicious, long finish, and a few more years in the cellar should add even more complexity and balance. The wine was bottled in July, and should drink well for 2-3 years."
40,Gtlelly Estate Cabernet Sauvignon 2013, Red Wine , Cabernet Sauvignon ,"  from Margaret River, Western Australia, Australia "," A great accompaniment to red meat dishes or a classic cut of steak, this wine is ideal with richly flavored foods such as braised lamb shanks.  Enjoy with grilled meats, pasta, risotto or cheese. "
41,Sewical Taros Sauvignon Blanc 2004, White Wine , Sauvignon Blanc ,  from Chile ," The nose is clean and complex with the perfect combination of varietal character and freshness.  The wine is well balanced, with a long and persistent finish.  The grapes from the Casablanca Valley, a region of Chile, provide the intensity and elegance for the wine. "
42,Laye Dy loussei 2017, White Wine , Sauvignon Blanc ,"  from Marlborough, New Zealand "," The aromas of honeysuckle and fresh-cut grass are supported by a seductive note of lemongrass. The palate is balanced and delicate with a delicately textured and mineral edge. A refreshing and savoury note of lemongrass and a hint of quinine lead to a delicately textured and elegant wine. The finish is long and vibrant, with a deliciously dry and refreshing finish. This wine is a classic Marlborough Sauvignon Blanc. "
43,Viey Rose 2018, Pink and Rosé , Rosé ,"  from Cotes de Provence, Provence, South of France, France "," This wine is perfect to drink with seafood, meats, pizza, barbecue, fish, Provençal, Asian and Mediterranean cuisine.   , loads of fresh, deep fruit, flowers, and a bit of mysterious earth and spice. On the palate the wine is savory, fresh, and tart with notes of wild berry, herbs, spice and minerals. Good structure, refreshing and long on the finish."
44,Castelle Cabernet Sabignon 2018, Red Wine , Cabernet Sauvignon ,"  from Napa Valley, California "," Blend: 82% Cabernet Sauvignon, 11% Petit Verdot, 7% Merlot, 2% Malbec  The deep purple-colored, perfumey 2001 Cabernet Sauvignon Napa Valley (15%) is a beauty. A sumptuous perfume of cassis, blackberry, black cherry, and black cherry is followed by a rich, full-bodied, chewy, concentrated, velvety wine with loads of black cherry fruit and sweet tannin, and a lengthy finish. It should drink well upon release, but should keep for 3-5 years.-Wine Advocate "
45,Chojes Santalcha Cabernet Sauvignon Montaine Blanc 2009, White Wine , Chenin Blanc ,  from Spain ," Chateau Poujeaux has a very attractive nose with rich aromas of quince, pear and a hint of minerality. It is dry and the finish is long and balanced. "
46,SOppuusture Chardonnay 2016, White Wine , Chardonnay ,"  from Napa Valley, California "," This wine is a blend of fruit from several different vineyards. The wine has a light, straw color with golden highlights. The nose is filled with tropical fruit, pear and honeydew melon with a hint of pineapple. The wine fills the mouth with a medley of fruit and creaminess that is balanced by the bright acidity and good structure. The finish is long and fruity with tropical fruit and pear flavors. "
47,Clicheli Chardonnay 1999, White Wine , Chardonnay ,  from California ," This wine has a light straw color. Aromas of citrus, spice and tropical fruit are combined with vanilla and a hint of toasty oak. On the palate the wine is nicely balanced with a lovely, long finish.  This wine pairs well with anything light. A delicious aperitif or pair with seafood, salads, poultry or pasta with cream sauces. "
48,Carcori Mabbeccia Reserda 1099, Red Wine , Other Red Blends ,"  from Tuscany, Italy "," Mabbeccia, made in the traditional Brunello style, is a blend of Cabernet Sauvignon, Sangiovese, and Cabernet Franc.  It is a wine with great finesse, excellent structure, and great depth of flavor.  It is deep ruby red in color with a bouquet of spice and fruit. On the palate, it is rich and persistent with flavors of ripe fruit and chocolate. It is recommended with roasted and grilled red meat, game, and aged cheeses. "
49,Nieif Deyo Pouli Dol Parassicot Grenacher Reserva Maczelle Blanc Riuge 1997, White Wine , Other White Blends ,"  from Ribera del Duero, Spain ",", the wine shows intense varietal character, with aromas of apple, honey, spice and a hint of minerality. It is well balanced, with a long, soft finish. A great wine to pair with a range of foods, from seafood and mild cheeses to pasta, poultry and even spicy Asian dishes."
50,Folbents Markson Coasttaree Sonome Cabernet Sauvignon 2014, Red Wine , Cabernet Sauvignon ,"  from Napa Valley, California "," The 2014 marks the first release of this single vineyard Cabernet Sauvignon. It is a lush and seductive wine that is filled with blackberries, cherries, cassis, and sandalwood. It is lush and inviting with soft tannins and a long finish. The palate is expressive and savory with an exotic edge. This vintage is drinking well now, but will continue to improve with time in the cellar. "
51,Dubaine Chablis-Munsailnseux Dolpilganes Chuviail 2016, White Wine , Chardonnay ,"  from Chablis, Burgundy, France ", Chateau Margaux-Lavau Domaine de la Vougeraie Chablis 2014 [response] [category_1] White Wine Cellar Selection 
52,Verty Dubagne Cavee Puefrigns Cellars Estate Blanc 1995, White Wine , Other White Blends ,"  from Languedoc, South of France, France ",", this is a truly unique cuvée from Vermentino's home region in the south of France. It's a wine that is deeply fruity and soft, with a luscious mouthfeel and an elegant, long finish.  It is a blend of 50% Vermentino, 20% Sauvignon Blanc and 20% Viognier, the wine was bottled unfined and unfiltered. "
53,Salan Winemagne Merinas Phooson Pinot Noir 2015, Red Wine , Pinot Noir ,  from France ," It is a lovely, deep ruby red color with light glints of garnet. The nose is intense and fruity, with a hint of toast. The mouth is soft, with a great balance between tannins and acidity. It is long, with a great finesse and a lovely, silky finish. "
54,Kidg Aesone Chardonnay 2015, White Wine , Chardonnay ,"  from Mendoza, Argentina "," The Chardonnay grapes from this area have a fresh and fruity nose, with aromas of pears and peaches. The wine is nicely balanced, with a pleasant acidity and a soft finish. It pairs well with seafood and white meat dishes. "
55,TAVino Marbano Caberget Pinot Noir 2016, Red Wine , Pinot Noir ,  from California ," This wine is a perfect partner for richly flavored meats and hearty pasta dishes., intense dark fruit, spice, cassis and smoky oak flavors, with a round and opulent texture on the palate.  We are proud to present the wines of Tuscany, Italy and France.  We are proud to present the wines of Tuscany to the north and south of France.  We are proud to present the wines of Tuscany, the region of France where the grapes are grown and vinified by the people of Tuscany.  The wines of Tuscany are renowned for their finesse, elegance, balance, and good varietal character.  "
56,Argranzo Sedrazi Vina Granrico Toscana Terlin Blancos des Chardonnay 2013, White Wine , Other White Blends ,"  from Tuscany, Italy "," Pale straw color with greenish highlights. Intense and complex with aromas of pineapple, citrus and nuts. Very persistent and fresh, with great balance and minerality. Vina Granrico is a blend of two of the most traditional white grape varieties, Chardonnay and Viognier."
57,El Cobello Estate Pinot Noir 2013, Red Wine , Pinot Noir ,"  from Russian River, Sonoma County, California "," The 2013 Pinot Noir shows a deep ruby color. The nose is filled with black cherry, cedar, and spice. Flavors of cherry, spice, and cola are followed by a long, rich finish. This is a rich and elegant Pinot Noir that will continue to evolve for 10+ years. Pairs well with salmon, duck, and game. "
58,Bermresd Stapciet Coasteran Estate Montot Pinot Noir 2003, Red Wine , Pinot Noir ,"  from Willamette Valley, Oregon "," The 2003 vintage was an outstanding year with a long growing season. We fermented the fruit naturally with natural yeast, hand punched down three to six times daily and aged for 18 months in French oak barrels. The wine shows a rich garnet color with a nose of violets, black cherries, and spice. This Pinot Noir shows great finesse on the palate with soft tannins and a long finish. "
59,Karnati Mont Werliuma Seluck Winery Winery Chardonnay 2015, White Wine , Chardonnay ,"  from Russian River, Sonoma County, California "," Pale gold in the glass with aromas of lemon peel, honeydew and a hint of ginger. The palate is nicely balanced with flavors of white peach and fresh cut melon. The finish is clean and crisp. "
60,Flentaming Omil Sauvee Anseriitarer Bararino 2008, Red Wine , Other Red Blends ,"  from Veneto, Italy "," A great pairing with red meat, game, and aged cheeses. Deep garnet in color with ruby highlights, this wine shows inviting aromas of wild berries and sweet spices. Full bodied with velvety tannins, this wine has a great structure, with layers of dark berry fruit and a long, persistent finish. A wine to savor while young, but also excellent as an everyday wine to enjoy with food."
61,Shaha Cannont Chardonnay 2017, White Wine , Chardonnay ,"  from Napa Valley, California "," The grapes are hand harvested at night to fully ripen and gently pressed to a stainless steel tank. The juice is then transferred to French oak barrels for fermentation. After malolactic fermentation, the wine is racked into barrels for secondary fermentation to finish its malolactic fermentation. A soft, silky wine with a rich, creamy texture.  "
62,Gricquidgcum Vista Zinfandel 2015, Red Wine , Zinfandel ,"  from Lodi, California "," The wine is medium garnet in color, with aromas of ripe strawberry and cherry. On the palate, it is bright and fruity, with some spicy notes and a smooth finish.,Domaine de la Vougeraie Vougeot Le Clos du Prieure Monopole Rouge 2016 [response] [category_1] Red Wine [category_2] Pinot Noir [category_2] Other Red Blends [origin]  from Vougeot, Cote de Nuits, Cote d'Or, Burgundy, France "
63,Toratello Castella 2000, Red Wine , Other Red Blends ,  from Italy ," A wine of character with a pleasing combination of richness and freshness. The perfumes are fresh and fruity with scents of woodland berries. The taste is dry, warm and harmonious with a slightly almond-like finish.  Pairs well with pastas, pizzas, risottos as well as the classic Italian dishes and cheeses. "
64,Fondey Sparson Cabernet Sauvignon/Syrah 2007, Red Wine , Other Red Blends ,"  from Central Coast, California "," The 2007 Sparson is a blend of Cabernet Sauvignon ( 81%) and Syrah (14%) with a touch of Merlot (2%) and Petit Verdot (2%) from the Estate Vineyard (2,100 ft elevation) in the cool Paso Robles appellation. It exhibits aromas of black cherry, plum and cassis. The wine is full bodied, with flavors of cassis, dark chocolate and vanilla. It is nicely balanced with a long finish of spice and toasty oak."
65,Calunasodi Minzega Fontingla Cabernet Sauvignon 2012, Red Wine , Cabernet Sauvignon ,"  from Tuscany, Italy "," Blend: 85% Cabernet Sauvignon, 10% Merlot, 5% Petit Verdot, vivacious purple in color, rich aromas of blackberry, licorice and smoky oak. Soft, round and velvety on the palate, with polished tannins, it has a long, persistent finish. This wine is delicious to drink now, but it will continue to improve for 3-5 years. It can be enjoyed with red meats, game, pasta, risotto, pizza, pizza or any kind of cheese. This wine is great with everyday meals. Enjoy! "
66,Columa Chabfis Tewtharpini 2017, Red Wine , Other Red Blends ,"  from Tuscany, Italy "," Blend: 70% Cabernet Sauvignon, 20% Sangiovese, 10% Cabernet Franc St. Innocent Freedom Hill Chardonnay 2012 [response] [category_1] White Wine "
67,Artonney Rieslina Zinfandel 2007, Red Wine , Zinfandel ,"  from Napa Valley, California "," This 2007 Riesling is a rich and flavorful wine.  Flavors of ripe black cherry, dark plums, raspberry and pomegranate dominate the nose and palate. The bright and fruity character continues through the palate, supported by just a touch of sweetness. The finish is long and lush with balanced acidity and soft tannins. This is a delicious, easy-to-drink wine perfect to serve with a wide range of foods, from classic Mediterranean fare to spicy Asian dishes.  Enjoy this wine with a variety of cheeses from Spain to Asian, and even with sushi."
68,Geytinasmera Gebargu Serriofale Sanomase 2003, Red Wine , Other Red Blends ,  from Spain ," A beauty. This is the wine that shows the personality of the variety, a rich, layered, fruity wine with the deep flavors of black cherries, plums, and spices. Full-bodied, with excellent structure and good tannin for a wide range of wines, it is a tasty, rich, chewy wine. This should evolve nicely and keep for 3-4 years.-Wine Advocate "
69,Kentouteral Treoder Verlot 2017, Red Wine , Other Red Blends ,  from South Africa ," The Kentouteral style is one of elegance, power and complexity. This wine has notes of spice and a complex minerality which leads into a long, rich finish. This wine has a great ageing potential. Chateau Troplong Mondot (Futures Pre-Sale) 2018 [response] [category_1] Red Wine [category_2] Red Wine [category_2] Bordeaux Red Blends [origin]  from St. Emilion, Bordeaux, France "
70,Scrit Estate's Cabernet Sauvignon 2003, Red Wine , Cabernet Sauvignon ,"  from Napa Valley, California "," The 2003 Napa Valley Cabernet Sauvignon is the first wine I made in my native New York, and the first wine I made in the Napa Valley. This is a rich, full-bodied wine with deep color, aromas of black cherries and spice, and a lush, smooth palate. Flavors of black cherries, plums, and dark chocolate are complemented by a touch of sweet oak and smooth tannins. The finish is long and fruity. I was surprised by how well this Cabernet ages. The 2003 vintage is drinking well right now, but I feel it will continue to improve with a few more years in the bottle. "
71,Groigoos Estate Rose 2012, Pink and Rosé , Rosé ,"  from Central Coast, California "," The color of the 2012 Groigoos Rosé is a light, brilliant salmon. Fresh aromas of watermelon, rose petals, and hibiscus flowers, followed by a palate of strawberries, lychee nuts and a hint of mineral. The finish is long and refreshing. Made from organic grapes, the wine has a light, crisp, refreshing mouthfeel. "
72,Nenpona Entraghle 2013, Red Wine , Other Red Blends ,  from Spain ," The deep garnet color of theEntre-Deux-Tinto 2013 is an inviting introduction to the complex, luscious, mouth-filling aromas of blackberries, plums, and black cherries. In the mouth, the wine shows remarkable structure and depth, as well as a lively, fresh, and fruity palate with a long, pleasant finish. "
73,Martink Estate Velpredite Zinfandel Rose 2010, Pink and Rosé , Rosé ,"  from Russian River, Sonoma County, California "," The 2011 VelPredite Zinfandel Rosé has a lovely floral nose of rose petal, crushed fennel, white peach, and dried herbs. On the palate, the wine is bright and vibrant with notes of strawberry, white pepper, and a hint of orange zest. The finish is long and pleasant, with the flavors of rosemary and fresh ginger. "
74,Wilroriato Marrellom Estate Blanc 2009, White Wine , Other White Blends ,  from Spain ," Pale yellow color with golden hues. Intense, very aromatic, with tropical fruits and a slight hint of jasmine. Full-bodied, with a round, soft mouthfeel, it has a persistent finish. The 2009 vintage is a very good wine that is ready to drink now, but should evolve nicely in bottle. It is a soft, tasty wine, full of character, with loads of fresh fruit, the perfect wine to serve with seafood, fish, and rice dishes. It is also a great wine to drink with vegetables and fruits salad, as well as light cheeses. "
75,Shantoas Capelloli Cabernet Sauvignon 2012, Red Wine , Cabernet Sauvignon ,"  from Capellania, South Africa "," This wine pairs well with a variety of lighter dishes such as pizza, pasta or risotto, and can also go well with grilled meats and poultry. A Cabernet Sauvignon-based wine that is best enjoyed with grilled steak, barbeque ribs, roast beef, duck and game. "
76,Boryy Tchso Cabernet Sauvignon 2007, Red Wine , Cabernet Sauvignon ,"  from McLaren Vale, South Australia, Australia "," The 2007 Tchso is a classic McLaren Vale Cabernet Sauvignon that is very fragrant with blueberry, cassis, cherry, violets and a hint of mint. This is a full bodied wine with the pure flavors of blackberry, cassis, plum, and a hint of mint and sweet French oak. The tannins are firm, yet velvety. This is a wine that can be enjoyed now but will continue to evolve for at least 3-5 years. "
77,Gollua Vinazis Pinot Gris 2018, White Wine , Pinot Gris/Grigio ,"  from Friuli-Venezia Giulia, Italy "," The wine is characterized by an elegant straw-yellow color. It has an intense and fruity nose with the floral notes of jasmine and the fruity aromas of peach. The structure is balanced, full and generous. The finish is long and pleasantly mineral."
