,name,tokens,output,error_msg
649,Tounte Barfen Cointaitinier Pinot Gris 2000,"tensor([[50257,   220, 50258,   367,   415,  1086,  5459,  8304,  5605,   391,
            78,  8049,  1878, 13727,   313, 37544,  4793,   220, 50259,   220,
         50260,   366, 41912,   290, 10018,  2634,     1,   220, 50261, 10018,
          2634,   220, 50262,   366,   422,  8602,     1,   220, 50263,   366,
         33751,  5605,   391,    78,   318,   262,   749, 21362,  8237,   379,
           367,   415,  1086,  5459,    13,   632,   338,  1049,   355,   257,
           264,  4501,  8237,    11,   340,   338,   257,  2818,  8237,   284,
          4691,   351,  4713, 35104,  5937,    11, 32202,   290,   584,  7582,
         11084, 31980,    11,  9015,    11,  1569,   282,    11,  5916,    11,
          9015,   287,  8566, 10746,   290, 26917,  9891,   526,   220, 50256,
         50257]], device='cuda:0')",crashed,layer_norm() takes from 0 to 6 positional arguments but 6 were given
650,Tiraster Walley Vineyards Vineyard Zinfandel 2012,"tensor([[50257,   220, 50258,   367,   415,  1086,  5459,  8304,  5605,   391,
            78,  8049,  1878, 13727,   313, 37544,  4793,   220, 50259,   220,
         50260,   366, 41912,   290, 10018,  2634,     1,   220, 50261, 10018,
          2634,   220, 50262,   366,   422,  8602,     1,   220, 50263,   366,
         33751,  5605,   391,    78,   318,   262,   749, 21362,  8237,   379,
           367,   415,  1086,  5459,    13,   632,   338,  1049,   355,   257,
           264,  4501,  8237,    11,   340,   338,   257,  2818,  8237,   284,
          4691,   351,  4713, 35104,  5937,    11, 32202,   290,   584,  7582,
         11084, 31980,    11,  9015,    11,  1569,   282,    11,  5916,    11,
          9015,   287,  8566, 10746,   290, 26917,  9891,   526,   220, 50256,
         50257]], device='cuda:0')",crashed,layer_norm() takes from 0 to 6 positional arguments but 6 were given
651,Gilesis Carnerino Patos de Carnobme Chardonnay 2007,"tensor([[50257,   220, 50258,   367,   415,  1086,  5459,  8304,  5605,   391,
            78,  8049,  1878, 13727,   313, 37544,  4793,   220, 50259,   220,
         50260,   366, 41912,   290, 10018,  2634,     1,   220, 50261, 10018,
          2634,   220, 50262,   366,   422,  8602,     1,   220, 50263,   366,
         33751,  5605,   391,    78,   318,   262,   749, 21362,  8237,   379,
           367,   415,  1086,  5459,    13,   632,   338,  1049,   355,   257,
           264,  4501,  8237,    11,   340,   338,   257,  2818,  8237,   284,
          4691,   351,  4713, 35104,  5937,    11, 32202,   290,   584,  7582,
         11084, 31980,    11,  9015,    11,  1569,   282,    11,  5916,    11,
          9015,   287,  8566, 10746,   290, 26917,  9891,   526,   220, 50256,
         50257]], device='cuda:0')",crashed,layer_norm() takes from 0 to 6 positional arguments but 6 were given
652,Estanita Cilar Ridge Cabernet Sauvignon 2011,"tensor([[50257,   220, 50258,   367,   415,  1086,  5459,  8304,  5605,   391,
            78,  8049,  1878, 13727,   313, 37544,  4793,   220, 50259,   220,
         50260,   366, 41912,   290, 10018,  2634,     1,   220, 50261, 10018,
          2634,   220, 50262,   366,   422,  8602,     1,   220, 50263,   366,
         33751,  5605,   391,    78,   318,   262,   749, 21362,  8237,   379,
           367,   415,  1086,  5459,    13,   632,   338,  1049,   355,   257,
           264,  4501,  8237,    11,   340,   338,   257,  2818,  8237,   284,
          4691,   351,  4713, 35104,  5937,    11, 32202,   290,   584,  7582,
         11084, 31980,    11,  9015,    11,  1569,   282,    11,  5916,    11,
          9015,   287,  8566, 10746,   290, 26917,  9891,   526,   220, 50256,
         50257]], device='cuda:0')",crashed,layer_norm() takes from 0 to 6 positional arguments but 6 were given
653,Kongh Hirplon Vineyard Pinot Noir 2001,"tensor([[50257,   220, 50258,   367,   415,  1086,  5459,  8304,  5605,   391,
            78,  8049,  1878, 13727,   313, 37544,  4793,   220, 50259,   220,
         50260,   366, 41912,   290, 10018,  2634,     1,   220, 50261, 10018,
          2634,   220, 50262,   366,   422,  8602,     1,   220, 50263,   366,
         33751,  5605,   391,    78,   318,   262,   749, 21362,  8237,   379,
           367,   415,  1086,  5459,    13,   632,   338,  1049,   355,   257,
           264,  4501,  8237,    11,   340,   338,   257,  2818,  8237,   284,
          4691,   351,  4713, 35104,  5937,    11, 32202,   290,   584,  7582,
         11084, 31980,    11,  9015,    11,  1569,   282,    11,  5916,    11,
          9015,   287,  8566, 10746,   290, 26917,  9891,   526,   220, 50256,
         50257]], device='cuda:0')",crashed,layer_norm() takes from 0 to 6 positional arguments but 6 were given
654,Mickoliel Ving Noirtt Pinot Noir 2008,"tensor([[50257,   220, 50258,   367,   415,  1086,  5459,  8304,  5605,   391,
            78,  8049,  1878, 13727,   313, 37544,  4793,   220, 50259,   220,
         50260,   366, 41912,   290, 10018,  2634,     1,   220, 50261, 10018,
          2634,   220, 50262,   366,   422,  8602,     1,   220, 50263,   366,
         33751,  5605,   391,    78,   318,   262,   749, 21362,  8237,   379,
           367,   415,  1086,  5459,    13,   632,   338,  1049,   355,   257,
           264,  4501,  8237,    11,   340,   338,   257,  2818,  8237,   284,
          4691,   351,  4713, 35104,  5937,    11, 32202,   290,   584,  7582,
         11084, 31980,    11,  9015,    11,  1569,   282,    11,  5916,    11,
          9015,   287,  8566, 10746,   290, 26917,  9891,   526,   220, 50256,
         50257]], device='cuda:0')",crashed,layer_norm() takes from 0 to 6 positional arguments but 6 were given
655,Foralilgungaco Brana Chardonnay 2012,"tensor([[50257,   220, 50258,   367,   415,  1086,  5459,  8304,  5605,   391,
            78,  8049,  1878, 13727,   313, 37544,  4793,   220, 50259,   220,
         50260,   366, 41912,   290, 10018,  2634,     1,   220, 50261, 10018,
          2634,   220, 50262,   366,   422,  8602,     1,   220, 50263,   366,
         33751,  5605,   391,    78,   318,   262,   749, 21362,  8237,   379,
           367,   415,  1086,  5459,    13,   632,   338,  1049,   355,   257,
           264,  4501,  8237,    11,   340,   338,   257,  2818,  8237,   284,
          4691,   351,  4713, 35104,  5937,    11, 32202,   290,   584,  7582,
         11084, 31980,    11,  9015,    11,  1569,   282,    11,  5916,    11,
          9015,   287,  8566, 10746,   290, 26917,  9891,   526,   220, 50256,
         50257]], device='cuda:0')",crashed,layer_norm() takes from 0 to 6 positional arguments but 6 were given
656,Cott d'Ay Bucela de la Alberran Barolo 2011,"tensor([[50257,   220, 50258,   367,   415,  1086,  5459,  8304,  5605,   391,
            78,  8049,  1878, 13727,   313, 37544,  4793,   220, 50259,   220,
         50260,   366, 41912,   290, 10018,  2634,     1,   220, 50261, 10018,
          2634,   220, 50262,   366,   422,  8602,     1,   220, 50263,   366,
         33751,  5605,   391,    78,   318,   262,   749, 21362,  8237,   379,
           367,   415,  1086,  5459,    13,   632,   338,  1049,   355,   257,
           264,  4501,  8237,    11,   340,   338,   257,  2818,  8237,   284,
          4691,   351,  4713, 35104,  5937,    11, 32202,   290,   584,  7582,
         11084, 31980,    11,  9015,    11,  1569,   282,    11,  5916,    11,
          9015,   287,  8566, 10746,   290, 26917,  9891,   526,   220, 50256,
         50257]], device='cuda:0')",crashed,layer_norm() takes from 0 to 6 positional arguments but 6 were given
657,Caclo Santabine Blanc 2010,"tensor([[50257,   220, 50258,   367,   415,  1086,  5459,  8304,  5605,   391,
            78,  8049,  1878, 13727,   313, 37544,  4793,   220, 50259,   220,
         50260,   366, 41912,   290, 10018,  2634,     1,   220, 50261, 10018,
          2634,   220, 50262,   366,   422,  8602,     1,   220, 50263,   366,
         33751,  5605,   391,    78,   318,   262,   749, 21362,  8237,   379,
           367,   415,  1086,  5459,    13,   632,   338,  1049,   355,   257,
           264,  4501,  8237,    11,   340,   338,   257,  2818,  8237,   284,
          4691,   351,  4713, 35104,  5937,    11, 32202,   290,   584,  7582,
         11084, 31980,    11,  9015,    11,  1569,   282,    11,  5916,    11,
          9015,   287,  8566, 10746,   290, 26917,  9891,   526,   220, 50256,
         50257]], device='cuda:0')",crashed,layer_norm() takes from 0 to 6 positional arguments but 6 were given
658,Freed Valley Clartelo Vineyard Chardonnay 2016,"tensor([[50257,   220, 50258,   367,   415,  1086,  5459,  8304,  5605,   391,
            78,  8049,  1878, 13727,   313, 37544,  4793,   220, 50259,   220,
         50260,   366, 41912,   290, 10018,  2634,     1,   220, 50261, 10018,
          2634,   220, 50262,   366,   422,  8602,     1,   220, 50263,   366,
         33751,  5605,   391,    78,   318,   262,   749, 21362,  8237,   379,
           367,   415,  1086,  5459,    13,   632,   338,  1049,   355,   257,
           264,  4501,  8237,    11,   340,   338,   257,  2818,  8237,   284,
          4691,   351,  4713, 35104,  5937,    11, 32202,   290,   584,  7582,
         11084, 31980,    11,  9015,    11,  1569,   282,    11,  5916,    11,
          9015,   287,  8566, 10746,   290, 26917,  9891,   526,   220, 50256,
         50257]], device='cuda:0')",crashed,layer_norm() takes from 0 to 6 positional arguments but 6 were given
659,Piuta Mallo Selecchally Shiray Reserve Pisona,"tensor([[50257,   220, 50258,   367,   415,  1086,  5459,  8304,  5605,   391,
            78,  8049,  1878, 13727,   313, 37544,  4793,   220, 50259,   220,
         50260,   366, 41912,   290, 10018,  2634,     1,   220, 50261, 10018,
          2634,   220, 50262,   366,   422,  8602,     1,   220, 50263,   366,
         33751,  5605,   391,    78,   318,   262,   749, 21362,  8237,   379,
           367,   415,  1086,  5459,    13,   632,   338,  1049,   355,   257,
           264,  4501,  8237,    11,   340,   338,   257,  2818,  8237,   284,
          4691,   351,  4713, 35104,  5937,    11, 32202,   290,   584,  7582,
         11084, 31980,    11,  9015,    11,  1569,   282,    11,  5916,    11,
          9015,   287,  8566, 10746,   290, 26917,  9891,   526,   220, 50256,
         50257]], device='cuda:0')",crashed,layer_norm() takes from 0 to 6 positional arguments but 6 were given
660,Van Bruthesse Lamia Soroamica Pelmacza Barberade Altof Blancholecli 2007,"tensor([[50257,   220, 50258,   367,   415,  1086,  5459,  8304,  5605,   391,
            78,  8049,  1878, 13727,   313, 37544,  4793,   220, 50259,   220,
         50260,   366, 41912,   290, 10018,  2634,     1,   220, 50261, 10018,
          2634,   220, 50262,   366,   422,  8602,     1,   220, 50263,   366,
         33751,  5605,   391,    78,   318,   262,   749, 21362,  8237,   379,
           367,   415,  1086,  5459,    13,   632,   338,  1049,   355,   257,
           264,  4501,  8237,    11,   340,   338,   257,  2818,  8237,   284,
          4691,   351,  4713, 35104,  5937,    11, 32202,   290,   584,  7582,
         11084, 31980,    11,  9015,    11,  1569,   282,    11,  5916,    11,
          9015,   287,  8566, 10746,   290, 26917,  9891,   526,   220, 50256,
         50257]], device='cuda:0')",crashed,layer_norm() takes from 0 to 6 positional arguments but 6 were given
661,Viny Fantono di-Riaca 2013,"tensor([[50257,   220, 50258,   367,   415,  1086,  5459,  8304,  5605,   391,
            78,  8049,  1878, 13727,   313, 37544,  4793,   220, 50259,   220,
         50260,   366, 41912,   290, 10018,  2634,     1,   220, 50261, 10018,
          2634,   220, 50262,   366,   422,  8602,     1,   220, 50263,   366,
         33751,  5605,   391,    78,   318,   262,   749, 21362,  8237,   379,
           367,   415,  1086,  5459,    13,   632,   338,  1049,   355,   257,
           264,  4501,  8237,    11,   340,   338,   257,  2818,  8237,   284,
          4691,   351,  4713, 35104,  5937,    11, 32202,   290,   584,  7582,
         11084, 31980,    11,  9015,    11,  1569,   282,    11,  5916,    11,
          9015,   287,  8566, 10746,   290, 26917,  9891,   526,   220, 50256,
         50257]], device='cuda:0')",crashed,layer_norm() takes from 0 to 6 positional arguments but 6 were given
662,Domaine Greves Bourgognet Lo Perres-Vontelles Sisera (OK Foner) 1999,"tensor([[50257,   220, 50258,   367,   415,  1086,  5459,  8304,  5605,   391,
            78,  8049,  1878, 13727,   313, 37544,  4793,   220, 50259,   220,
         50260,   366, 41912,   290, 10018,  2634,     1,   220, 50261, 10018,
          2634,   220, 50262,   366,   422,  8602,     1,   220, 50263,   366,
         33751,  5605,   391,    78,   318,   262,   749, 21362,  8237,   379,
           367,   415,  1086,  5459,    13,   632,   338,  1049,   355,   257,
           264,  4501,  8237,    11,   340,   338,   257,  2818,  8237,   284,
          4691,   351,  4713, 35104,  5937,    11, 32202,   290,   584,  7582,
         11084, 31980,    11,  9015,    11,  1569,   282,    11,  5916,    11,
          9015,   287,  8566, 10746,   290, 26917,  9891,   526,   220, 50256,
         50257]], device='cuda:0')",crashed,layer_norm() takes from 0 to 6 positional arguments but 6 were given
663,Antellorberos Cabernet Sauvignon 2001,"tensor([[50257,   220, 50258,   367,   415,  1086,  5459,  8304,  5605,   391,
            78,  8049,  1878, 13727,   313, 37544,  4793,   220, 50259,   220,
         50260,   366, 41912,   290, 10018,  2634,     1,   220, 50261, 10018,
          2634,   220, 50262,   366,   422,  8602,     1,   220, 50263,   366,
         33751,  5605,   391,    78,   318,   262,   749, 21362,  8237,   379,
           367,   415,  1086,  5459,    13,   632,   338,  1049,   355,   257,
           264,  4501,  8237,    11,   340,   338,   257,  2818,  8237,   284,
          4691,   351,  4713, 35104,  5937,    11, 32202,   290,   584,  7582,
         11084, 31980,    11,  9015,    11,  1569,   282,    11,  5916,    11,
          9015,   287,  8566, 10746,   290, 26917,  9891,   526,   220, 50256,
         50257]], device='cuda:0')",crashed,layer_norm() takes from 0 to 6 positional arguments but 6 were given
664,Racabicla Frory Famen Barbera 2012,"tensor([[50257,   220, 50258,   367,   415,  1086,  5459,  8304,  5605,   391,
            78,  8049,  1878, 13727,   313, 37544,  4793,   220, 50259,   220,
         50260,   366, 41912,   290, 10018,  2634,     1,   220, 50261, 10018,
          2634,   220, 50262,   366,   422,  8602,     1,   220, 50263,   366,
         33751,  5605,   391,    78,   318,   262,   749, 21362,  8237,   379,
           367,   415,  1086,  5459,    13,   632,   338,  1049,   355,   257,
           264,  4501,  8237,    11,   340,   338,   257,  2818,  8237,   284,
          4691,   351,  4713, 35104,  5937,    11, 32202,   290,   584,  7582,
         11084, 31980,    11,  9015,    11,  1569,   282,    11,  5916,    11,
          9015,   287,  8566, 10746,   290, 26917,  9891,   526,   220, 50256,
         50257]], device='cuda:0')",crashed,layer_norm() takes from 0 to 6 positional arguments but 6 were given
665,Saurics Schmatk The Cabernet Sauvignon 2006,"tensor([[50257,   220, 50258,   367,   415,  1086,  5459,  8304,  5605,   391,
            78,  8049,  1878, 13727,   313, 37544,  4793,   220, 50259,   220,
         50260,   366, 41912,   290, 10018,  2634,     1,   220, 50261, 10018,
          2634,   220, 50262,   366,   422,  8602,     1,   220, 50263,   366,
         33751,  5605,   391,    78,   318,   262,   749, 21362,  8237,   379,
           367,   415,  1086,  5459,    13,   632,   338,  1049,   355,   257,
           264,  4501,  8237,    11,   340,   338,   257,  2818,  8237,   284,
          4691,   351,  4713, 35104,  5937,    11, 32202,   290,   584,  7582,
         11084, 31980,    11,  9015,    11,  1569,   282,    11,  5916,    11,
          9015,   287,  8566, 10746,   290, 26917,  9891,   526,   220, 50256,
         50257]], device='cuda:0')",crashed,layer_norm() takes from 0 to 6 positional arguments but 6 were given
666,Stansson Cabernet Sauvignon 2010,"tensor([[50257,   220, 50258,   367,   415,  1086,  5459,  8304,  5605,   391,
            78,  8049,  1878, 13727,   313, 37544,  4793,   220, 50259,   220,
         50260,   366, 41912,   290, 10018,  2634,     1,   220, 50261, 10018,
          2634,   220, 50262,   366,   422,  8602,     1,   220, 50263,   366,
         33751,  5605,   391,    78,   318,   262,   749, 21362,  8237,   379,
           367,   415,  1086,  5459,    13,   632,   338,  1049,   355,   257,
           264,  4501,  8237,    11,   340,   338,   257,  2818,  8237,   284,
          4691,   351,  4713, 35104,  5937,    11, 32202,   290,   584,  7582,
         11084, 31980,    11,  9015,    11,  1569,   282,    11,  5916,    11,
          9015,   287,  8566, 10746,   290, 26917,  9891,   526,   220, 50256,
         50257]], device='cuda:0')",crashed,layer_norm() takes from 0 to 6 positional arguments but 6 were given
667,Ccoranco Chardonnay 2002,"tensor([[50257,   220, 50258,   367,   415,  1086,  5459,  8304,  5605,   391,
            78,  8049,  1878, 13727,   313, 37544,  4793,   220, 50259,   220,
         50260,   366, 41912,   290, 10018,  2634,     1,   220, 50261, 10018,
          2634,   220, 50262,   366,   422,  8602,     1,   220, 50263,   366,
         33751,  5605,   391,    78,   318,   262,   749, 21362,  8237,   379,
           367,   415,  1086,  5459,    13,   632,   338,  1049,   355,   257,
           264,  4501,  8237,    11,   340,   338,   257,  2818,  8237,   284,
          4691,   351,  4713, 35104,  5937,    11, 32202,   290,   584,  7582,
         11084, 31980,    11,  9015,    11,  1569,   282,    11,  5916,    11,
          9015,   287,  8566, 10746,   290, 26917,  9891,   526,   220, 50256,
         50257]], device='cuda:0')",crashed,layer_norm() takes from 0 to 6 positional arguments but 6 were given
668,Acch Herrieile Meesnare-Pinot Noir 2015,"tensor([[50257,   220, 50258,   367,   415,  1086,  5459,  8304,  5605,   391,
            78,  8049,  1878, 13727,   313, 37544,  4793,   220, 50259,   220,
         50260,   366, 41912,   290, 10018,  2634,     1,   220, 50261, 10018,
          2634,   220, 50262,   366,   422,  8602,     1,   220, 50263,   366,
         33751,  5605,   391,    78,   318,   262,   749, 21362,  8237,   379,
           367,   415,  1086,  5459,    13,   632,   338,  1049,   355,   257,
           264,  4501,  8237,    11,   340,   338,   257,  2818,  8237,   284,
          4691,   351,  4713, 35104,  5937,    11, 32202,   290,   584,  7582,
         11084, 31980,    11,  9015,    11,  1569,   282,    11,  5916,    11,
          9015,   287,  8566, 10746,   290, 26917,  9891,   526,   220, 50256,
         50257]], device='cuda:0')",crashed,layer_norm() takes from 0 to 6 positional arguments but 6 were given
669,Franchill Gemart Montea Femrestal Vianoret 2006,"tensor([[50257,   220, 50258,   367,   415,  1086,  5459,  8304,  5605,   391,
            78,  8049,  1878, 13727,   313, 37544,  4793,   220, 50259,   220,
         50260,   366, 41912,   290, 10018,  2634,     1,   220, 50261, 10018,
          2634,   220, 50262,   366,   422,  8602,     1,   220, 50263,   366,
         33751,  5605,   391,    78,   318,   262,   749, 21362,  8237,   379,
           367,   415,  1086,  5459,    13,   632,   338,  1049,   355,   257,
           264,  4501,  8237,    11,   340,   338,   257,  2818,  8237,   284,
          4691,   351,  4713, 35104,  5937,    11, 32202,   290,   584,  7582,
         11084, 31980,    11,  9015,    11,  1569,   282,    11,  5916,    11,
          9015,   287,  8566, 10746,   290, 26917,  9891,   526,   220, 50256,
         50257]], device='cuda:0')",crashed,layer_norm() takes from 0 to 6 positional arguments but 6 were given
670,Deuf-Rilavic Aillecos Malbec 2003,"tensor([[50257,   220, 50258,   367,   415,  1086,  5459,  8304,  5605,   391,
            78,  8049,  1878, 13727,   313, 37544,  4793,   220, 50259,   220,
         50260,   366, 41912,   290, 10018,  2634,     1,   220, 50261, 10018,
          2634,   220, 50262,   366,   422,  8602,     1,   220, 50263,   366,
         33751,  5605,   391,    78,   318,   262,   749, 21362,  8237,   379,
           367,   415,  1086,  5459,    13,   632,   338,  1049,   355,   257,
           264,  4501,  8237,    11,   340,   338,   257,  2818,  8237,   284,
          4691,   351,  4713, 35104,  5937,    11, 32202,   290,   584,  7582,
         11084, 31980,    11,  9015,    11,  1569,   282,    11,  5916,    11,
          9015,   287,  8566, 10746,   290, 26917,  9891,   526,   220, 50256,
         50257]], device='cuda:0')",crashed,layer_norm() takes from 0 to 6 positional arguments but 6 were given
671,Banot Sondario Soce Barolo 2012,"tensor([[50257,   220, 50258,   367,   415,  1086,  5459,  8304,  5605,   391,
            78,  8049,  1878, 13727,   313, 37544,  4793,   220, 50259,   220,
         50260,   366, 41912,   290, 10018,  2634,     1,   220, 50261, 10018,
          2634,   220, 50262,   366,   422,  8602,     1,   220, 50263,   366,
         33751,  5605,   391,    78,   318,   262,   749, 21362,  8237,   379,
           367,   415,  1086,  5459,    13,   632,   338,  1049,   355,   257,
           264,  4501,  8237,    11,   340,   338,   257,  2818,  8237,   284,
          4691,   351,  4713, 35104,  5937,    11, 32202,   290,   584,  7582,
         11084, 31980,    11,  9015,    11,  1569,   282,    11,  5916,    11,
          9015,   287,  8566, 10746,   290, 26917,  9891,   526,   220, 50256,
         50257]], device='cuda:0')",crashed,layer_norm() takes from 0 to 6 positional arguments but 6 were given
672,Olfma Iphbers Blaviccion Mouxle Pinot Noir 2014,"tensor([[50257,   220, 50258,   367,   415,  1086,  5459,  8304,  5605,   391,
            78,  8049,  1878, 13727,   313, 37544,  4793,   220, 50259,   220,
         50260,   366, 41912,   290, 10018,  2634,     1,   220, 50261, 10018,
          2634,   220, 50262,   366,   422,  8602,     1,   220, 50263,   366,
         33751,  5605,   391,    78,   318,   262,   749, 21362,  8237,   379,
           367,   415,  1086,  5459,    13,   632,   338,  1049,   355,   257,
           264,  4501,  8237,    11,   340,   338,   257,  2818,  8237,   284,
          4691,   351,  4713, 35104,  5937,    11, 32202,   290,   584,  7582,
         11084, 31980,    11,  9015,    11,  1569,   282,    11,  5916,    11,
          9015,   287,  8566, 10746,   290, 26917,  9891,   526,   220, 50256,
         50257]], device='cuda:0')",crashed,layer_norm() takes from 0 to 6 positional arguments but 6 were given
673,Ram Estate Semiliino Reserva Tarvino 2016,"tensor([[50257,   220, 50258,   367,   415,  1086,  5459,  8304,  5605,   391,
            78,  8049,  1878, 13727,   313, 37544,  4793,   220, 50259,   220,
         50260,   366, 41912,   290, 10018,  2634,     1,   220, 50261, 10018,
          2634,   220, 50262,   366,   422,  8602,     1,   220, 50263,   366,
         33751,  5605,   391,    78,   318,   262,   749, 21362,  8237,   379,
           367,   415,  1086,  5459,    13,   632,   338,  1049,   355,   257,
           264,  4501,  8237,    11,   340,   338,   257,  2818,  8237,   284,
          4691,   351,  4713, 35104,  5937,    11, 32202,   290,   584,  7582,
         11084, 31980,    11,  9015,    11,  1569,   282,    11,  5916,    11,
          9015,   287,  8566, 10746,   290, 26917,  9891,   526,   220, 50256,
         50257]], device='cuda:0')",crashed,layer_norm() takes from 0 to 6 positional arguments but 6 were given
674,Cavenio Wihe Alenandn Vineyard Cabernet Sauvignon 2008,"tensor([[50257,   220, 50258,   367,   415,  1086,  5459,  8304,  5605,   391,
            78,  8049,  1878, 13727,   313, 37544,  4793,   220, 50259,   220,
         50260,   366, 41912,   290, 10018,  2634,     1,   220, 50261, 10018,
          2634,   220, 50262,   366,   422,  8602,     1,   220, 50263,   366,
         33751,  5605,   391,    78,   318,   262,   749, 21362,  8237,   379,
           367,   415,  1086,  5459,    13,   632,   338,  1049,   355,   257,
           264,  4501,  8237,    11,   340,   338,   257,  2818,  8237,   284,
          4691,   351,  4713, 35104,  5937,    11, 32202,   290,   584,  7582,
         11084, 31980,    11,  9015,    11,  1569,   282,    11,  5916,    11,
          9015,   287,  8566, 10746,   290, 26917,  9891,   526,   220, 50256,
         50257]], device='cuda:0')",crashed,layer_norm() takes from 0 to 6 positional arguments but 6 were given
675,Setallys EfAek Coast Red Blanc 2000,"tensor([[50257,   220, 50258,   367,   415,  1086,  5459,  8304,  5605,   391,
            78,  8049,  1878, 13727,   313, 37544,  4793,   220, 50259,   220,
         50260,   366, 41912,   290, 10018,  2634,     1,   220, 50261, 10018,
          2634,   220, 50262,   366,   422,  8602,     1,   220, 50263,   366,
         33751,  5605,   391,    78,   318,   262,   749, 21362,  8237,   379,
           367,   415,  1086,  5459,    13,   632,   338,  1049,   355,   257,
           264,  4501,  8237,    11,   340,   338,   257,  2818,  8237,   284,
          4691,   351,  4713, 35104,  5937,    11, 32202,   290,   584,  7582,
         11084, 31980,    11,  9015,    11,  1569,   282,    11,  5916,    11,
          9015,   287,  8566, 10746,   290, 26917,  9891,   526,   220, 50256,
         50257]], device='cuda:0')",crashed,layer_norm() takes from 0 to 6 positional arguments but 6 were given
676,Colson California Cabernet Sauvignon 2006,"tensor([[50257,   220, 50258,   367,   415,  1086,  5459,  8304,  5605,   391,
            78,  8049,  1878, 13727,   313, 37544,  4793,   220, 50259,   220,
         50260,   366, 41912,   290, 10018,  2634,     1,   220, 50261, 10018,
          2634,   220, 50262,   366,   422,  8602,     1,   220, 50263,   366,
         33751,  5605,   391,    78,   318,   262,   749, 21362,  8237,   379,
           367,   415,  1086,  5459,    13,   632,   338,  1049,   355,   257,
           264,  4501,  8237,    11,   340,   338,   257,  2818,  8237,   284,
          4691,   351,  4713, 35104,  5937,    11, 32202,   290,   584,  7582,
         11084, 31980,    11,  9015,    11,  1569,   282,    11,  5916,    11,
          9015,   287,  8566, 10746,   290, 26917,  9891,   526,   220, 50256,
         50257]], device='cuda:0')",crashed,layer_norm() takes from 0 to 6 positional arguments but 6 were given
677,Cay Rielva Bambera Pinot Noir 2017,"tensor([[50257,   220, 50258,   367,   415,  1086,  5459,  8304,  5605,   391,
            78,  8049,  1878, 13727,   313, 37544,  4793,   220, 50259,   220,
         50260,   366, 41912,   290, 10018,  2634,     1,   220, 50261, 10018,
          2634,   220, 50262,   366,   422,  8602,     1,   220, 50263,   366,
         33751,  5605,   391,    78,   318,   262,   749, 21362,  8237,   379,
           367,   415,  1086,  5459,    13,   632,   338,  1049,   355,   257,
           264,  4501,  8237,    11,   340,   338,   257,  2818,  8237,   284,
          4691,   351,  4713, 35104,  5937,    11, 32202,   290,   584,  7582,
         11084, 31980,    11,  9015,    11,  1569,   282,    11,  5916,    11,
          9015,   287,  8566, 10746,   290, 26917,  9891,   526,   220, 50256,
         50257]], device='cuda:0')",crashed,layer_norm() takes from 0 to 6 positional arguments but 6 were given
678,Polfance Gaponca Caberget Sauvignon Blanc 2012,"tensor([[50257,   220, 50258,   367,   415,  1086,  5459,  8304,  5605,   391,
            78,  8049,  1878, 13727,   313, 37544,  4793,   220, 50259,   220,
         50260,   366, 41912,   290, 10018,  2634,     1,   220, 50261, 10018,
          2634,   220, 50262,   366,   422,  8602,     1,   220, 50263,   366,
         33751,  5605,   391,    78,   318,   262,   749, 21362,  8237,   379,
           367,   415,  1086,  5459,    13,   632,   338,  1049,   355,   257,
           264,  4501,  8237,    11,   340,   338,   257,  2818,  8237,   284,
          4691,   351,  4713, 35104,  5937,    11, 32202,   290,   584,  7582,
         11084, 31980,    11,  9015,    11,  1569,   282,    11,  5916,    11,
          9015,   287,  8566, 10746,   290, 26917,  9891,   526,   220, 50256,
         50257]], device='cuda:0')",crashed,layer_norm() takes from 0 to 6 positional arguments but 6 were given
679,WDnettrewno Sauvignon Blanc 2000,"tensor([[50257,   220, 50258,   367,   415,  1086,  5459,  8304,  5605,   391,
            78,  8049,  1878, 13727,   313, 37544,  4793,   220, 50259,   220,
         50260,   366, 41912,   290, 10018,  2634,     1,   220, 50261, 10018,
          2634,   220, 50262,   366,   422,  8602,     1,   220, 50263,   366,
         33751,  5605,   391,    78,   318,   262,   749, 21362,  8237,   379,
           367,   415,  1086,  5459,    13,   632,   338,  1049,   355,   257,
           264,  4501,  8237,    11,   340,   338,   257,  2818,  8237,   284,
          4691,   351,  4713, 35104,  5937,    11, 32202,   290,   584,  7582,
         11084, 31980,    11,  9015,    11,  1569,   282,    11,  5916,    11,
          9015,   287,  8566, 10746,   290, 26917,  9891,   526,   220, 50256,
         50257]], device='cuda:0')",crashed,layer_norm() takes from 0 to 6 positional arguments but 6 were given
