,name,category_1,category_2,origin,description
29,Weechs Sarvar Hill Pinot Noir 2014,Red Wine,Pinot Noir,"Yamhill-Carlton District, Willamette Valley, Oregon","This is a very versatile wine that pairs well with everything from grilled fish to white meat, poultry, chicken and veal, as well as cheese, vegetables, mild spicy foods and pasta dishes with fresh tomatoes and roasted vegetables., Washington"
30,Clos de lizyg's Resad Barbachies 2008,Red Wine,Pinot Noir,"Burgundy, France","Deep ruby red in color. The nose is explosive with aromas of ripe fruit, cherries, strawberries and red currants. The mouth is juicy and balanced, with round, soft and well-rounded tannins. The finish is very well-balanced, fresh and fruity."
32,J. E Morat Cabernet Sauvignon 2006,Red Wine,Cabernet Sauvignon,Chile,"The wine is a deep, ruby red color with violet tones. It has a very intense aroma with ripe fruits and sweet spices. On the palate it is rich and balanced with round and silky tannins. This wine is ready to drink now, and will cellar well for a year and a half."
34,Leye Syrah Barorenti 1982,Red Wine,Syrah/Shiraz,"Central Coast, California","This vintage of Syrah is deep, dark and inky. Aromas are bright, with a suggestion of chocolate, cinnamon and sweet, ripe cherries. Flavors mirror aromas with the addition of blackberries, plums and coffee. The mouth feel is generous and round with sweet tannins. This wine is full-bodied with a round, soft finish. Enjoy this wine now, or cellar it for a minimum of four to eight years."
35,Sangankumbe Ma Ebaina 2000,Red Wine,Bordeaux Red Blends,Chile,"Ma-Ebaina has a deep red color and a fine, fruity aroma.  On the palate, the wine is smooth and well-balanced with good structure and excellent complexity.  The tannins are soft and round, the fruit is round, round, full of flavor and the flavor is of ripe fruit.  The aftertaste is clean and refreshing, with great persistence and a hint of vinosity.  The tannins are smooth and well-integrated, but not aggressive.  The overall impression is elegant, very pleasant and persistent."
36,Banfarc Toban Shira Cabernet Sauvignon 1998,Red Wine,Cabernet Sauvignon,Chile,"A beautiful, rich ruby-red colored wine with a bouquet of ripe, spicy and fruity fruit.  It has a soft, round mouthfeel with a good balance between its sweetness and roundness.  It is a very well- 780-case wine."
37,Hernra Thade Ruuds Lafheres Ol Pinet Noir 1999,Red Wine,Pinot Noir,"Willamette Valley, Oregon","generous aromas of black cherries, spices and vanilla, with a touch of toastinessiplanted by floral notes.  Flavors mirror aromas with a nice round mouthfeel and very ripe fruit with well-balanced acidity.  The finish is long with well-integrated oak.  This wine can be enjoyed now, or cellared for 2-3 years.  Serve at room temperature."
38,Alberuls Opre Wheek Pinot Noir 2008,Red Wine,Pinot Noir,"Willamette Valley, Oregon","This wine shows a dark ruby-red color with bright hues. The nose is spicy with fresh notes of vanilla, caramel, and floral tones. The mouthfeel is mouth-coating with juicy flavors of blackberry, cherry, and black currant with toasty oak and an earthy quality. The mouth feel is medium bodied with juicy, juicy tannins that are ripe and well-integrated. The finish is long and smooth with lingering notes of fresh cherry, vanilla, and spice."
40,Gtlelly Estate Cabernet Sauvignon 2013,Red Wine,Cabernet Sauvignon,"Napa Valley, California","The 2013 Gtlelly Estate Cabernet Sauvignon is elegant and well-balanced, featuring aromas of cherry, blackberry, cedar, nutmeg, vanilla, and coffee. It is medium-bodied and well-balanced on the palate with bright McDonnell cherries and strawberries, a touch of cedar, and good acidity. This is an approachable wine with good structure and well-integrated tannins. The finish is long, refreshing, and balanced with sweet oak. Enjoy this wine now or cellar it for up to 5 years."
41,Sewical Taros Sauvignon Blanc 2004,White Wine,Sauvignon Blanc,"Central Coast, California","This wine has aromas of citrus, lees, mineral, floral and floral.  The flavors mirror aromas with fresh grapefruit, lime, green apple and a hint of mineral.  The mouthfeel is medium-bodied with crisp acidity, balanced by well-integrated oak, and long finish."
43,Viey Rose 2018,Pink and Rosé,Rosé,"Paso Robles, Central Coast, California","The 2018 Rosé of Pinot Noir is a rich and delicious wine with fresh aromas of fresh strawberries, melon, pear, and tangerine. The mouthfeel is soft and juicy, with flavors of strawberries, peaches, and grapefruit. The wine has a nice crisp acidity, with well-balanced, juicy, juicy, round, lingering finish. The wine is perfect for a refreshing sipping on warm afternoons, or to accompany summer salads and fresh seafood."
44,Castelle Cabernet Sabignon 2018,Red Wine,Cabernet Sauvignon,"Columbia Valley, Washington","This wine displays an elegant nose of cherry, blackberry, and a hint of black pepper. It is full-bodied with flavors of red fruits, blackberries, and blackberries, and round, soft tannins. It is rich, with a lingering finish of cassis and red cherries."
46,SOppuusture Chardonnay 2016,White Wine,Chardonnay,Chile,"This is a refreshing Chardonnay with judicious acidity and well-balanced fruit aromas and flavors, a round, round, well-rounded mouthfeel, and a fresh, clean finish. The wine is well-balanced and is a good companion for seafood and shellfish, particularly mussels, clams, oysters, scallops, crab, clams, scallops and crab salad, and roasted chicken, veal, veal in cream sauce."
47,Clicheli Chardonnay 1999,White Wine,Chardonnay,"Central Coast, California",recourse																																																																																																																									 commend   																																																																																																																	 ethn
50,Folbents Markson Coasttaree Sonome Cabernet Sauvignon 2014,Red Wine,Cabernet Sauvignon,"Sonoma Valley, Sonoma County, California","The 2014 Sonoma Coasttare Cabernet Sauvignon is a deep garnet color with aromas of raspberry, black cherry, currant and sweet, ripe plum. Flavors mirror aromas with flavors of black cherry, raspberry, currant and cassis with sweet oak spice, vanilla and hints of cocoa. The mouthfeel is soft and round with round tannins and good acidity. The wine is a very drinkable wine now, and will cellar well for up to 10 years. The wine is ready to drink now, and will cellar well for up to 10 years."
51,Dubaine Chablis-Munsailnseux Dolpilganes Chuviail 2016,White Wine,Chardonnay,"Chablis, Burgundy, France","Chablis is a perfect wine for all seafood and shellfish, especially in a light and fruity wine like this one. The wine is a perfect partner for white meat and veal, or on its own. Serve at a temperature of 7 to 8 °C."
53,Salan Winemagne Merinas Phooson Pinot Noir 2015,Red Wine,Pinot Noir,"Willamette Valley, Oregon","The 2015 Salan Estate Winemagge Merinas Phooson Vineyard is rich and balanced. It is a wine of great complexity and length. Aromas of red and black fruit are followed by flavors of black cherries, red berries, fresh herbs and spice. It is a wine with great texture and a lingering finish."
54,Kidg Aesone Chardonnay 2015,White Wine,Chardonnay,"Napa Valley, California","Aromas of ripe pear and tropical fruit, with a touch of vanilla, butter and sweet spice. Flavors mirror aromas with a creamy texture and a hint of toasted barrel toast. The mouthfeel is medium-bodied, with soft tannins and a long, lingering finish."
55,TAVino Marbano Caberget Pinot Noir 2016,Red Wine,Pinot Noir,"Mendoza, Argentina","Ruby red with violet hues.  Aromas of ripe red fruits, particularly cherries, strawberries and raspberries with a touch of spices.  A round mouthfeel, soft, fruity and well-balanced with good acidity.  The finish is round and well-rounded, with ripe tannins."
56,Argranzo Sedrazi Vina Granrico Toscana Terlin Blancos des Chardonnay 2013,White Wine,Chardonnay,"Tuscany, Italy","This wine is very versatile and well-suited for food pairing. Aromas of citrus fruit and mineral nuances are characteristic of the grape. The flavor is dry and full of freshness, balanced by its acidity and pleasantness."
57,El Cobello Estate Pinot Noir 2013,Red Wine,Pinot Noir,"Carneros, California","The 2013 El Cobello Estate Pinot Noir opens with bright aromas of raspberry, blackberry, floral, and spice. Flavors mirror aromas with ripe red fruits, fresh herbs, and spice, followed by a medium-bodied mouthfeel with well-balanced acidity and good persistence. The mouthfeel is soft and round with soft tannins that lead to a lingering finish of vanilla, caramel, and earthy flavors."
58,Bermresd Stapciet Coasteran Estate Montot Pinot Noir 2003,Red Wine,Pinot Noir,"Willamette Valley, Oregon","The Stapciet Coasteran Estate Vineyard is one of the most prestigious vineyards in the state.  The grapes for this wine come from the Coasteran Estate vineyard, which is certified organic, and is one of the most old vines in the state.  The vines are more than twenty-five years old.  This is an elegant wine with a hint of spice.  The aroma is vibrant and full of ripe cherry, with undertones of orange peel.  The mouthfeel is soft and round with a pleasing roundness, with supple and round tannins.  The finish is long, balanced, and clean with lingering flavors of cherry, spice, and floral characteristics."
59,Karnati Mont Werliuma Seluck Winery Winery Chardonnay 2015,White Wine,Chardonnay,"Yamhill-Carlton District, Willamette Valley, Oregon","The 2015 vintage was a relatively warm growing season with a relatively high average harvest temperature. After a long growing season, it was almost ideal for ripening. This year’s wine is vibrant and refreshing with a lively acidity. It is rich with aromas of pear, apple, apprehension, clove and vanilla. The mouth feel is medium-bodied with generous and well-integrated acidity that enhances the palate. The finish is long with flavors of citrus and mineral."
60,Flentaming Omil Sauvee Anseriitarer Bararino 2008,White Wine,Other White Blends,"Barolo, Piedmont, Italy","sporadic and intense. Very fruity, with hints of peach, pear and citrus, with a hint of minerals. Fresh, well-balanced and very pleasing..   ."
61,Shaha Cannont Chardonnay 2017,White Wine,Chardonnay,"Santa Barbara, Central Coast, California","The 2017 Santa Barbara County Chardonnay is a perfect balance of intensity and elegance. Aromas of ripe pear, baked apple, and nutty toast are complemented by flavors of lemon zest, brioche, and clove. The mouthfeel is medium-bodied, with flavors of Meyer lemon, grapefruit, and melon. The finish is long and refreshing with a hint of citrus. The wine is very drinkable now, but will cellar well for 5-8 years."
62,Gricquidgcum Vista Zinfandel 2015,Red Wine,Zinfandel,"Arroyo Seco, Monterey, Central Coast, California","This wine is full of flavors that complement the aromas of strawberries, cherries, and plums. The palate is medium bodied with flavors of blueberries, red cherries, and mineral notes. The finish is soft, round, and refreshing with well-balanced acidity. The wine is well-balanced with good concentration and a mouth-coating texture. A very versatile wine with grilled vegetables, eggplant, roasted vegetables, tomato, grilled mushrooms, pasta with light sauces, meatballs, creamy sauces, roasted chicken, roasted vegetablesם veal, roasted vegetables, and grilled fish. Enjoy now or cellar for up to 5 years.  Serve well-chilled."
64,Fondey Sparson Cabernet Sauvignon/Syrah 2007,Red Wine,Other Red Blends,"Napa Valley, California","The 2007 vintage of our Cabernet Sauvignon/Syrah is a rich and complex wine with a core of black fruit, chocolate, coffee and coffee bean flavors. The wine is well-structured with ripe tannins, rich flavorsnirage and soft tannins. The finish is long and smooth with lingering flavors of dark chocolate, caramel, coffee and pepper. The wine is ready to drink now and will cellar well for five to eight years."
65,Calunasodi Minzega Fontingla Cabernet Sauvignon 2012,Red Wine,Cabernet Sauvignon,Chile,"An attractive deep ruby red color with violet tones. The nose is very expressive and complex with aromas of fresh red fruits, blackberries, and cherries. A delicate touch of vanilla. On the palate, the wine is well-balanced with good body and silky tannins. This wine has a long finish and a persistent and pleasant acidity."
66,Columa Chabfis Tewtharpini 2017,Red Wine,Other Red Blends,"Sicily, Italy","Straw-colored with violet tones. Elegant and well-balanced aromas with notes of red fruits, blackberries and cherries.  Fresh and round on the palate with well-balanced acidity and ripe tannins.  potential of the blend:   The blend is a good match for a wide variety of dishes including pasta dishes, pizza, chicken and veal."
67,Artonney Rieslina Zinfandel 2007,Red Wine,Zinfandel,"Central Coast, California","Our 2007 Rieslina is an attractive and inviting wine with classic Zinfandel aromas of cherry, raspberry and raspberry. The wine opens with a hint of spice. The flavors mirror aromas with raspberry, cherry, and cherry pie with a hint of orange zest. This wine has soft, well-balanced tannins, which lead to a well-balanced finish. The wine is ready to drink now and will cellar well for the next 5 to 7 years. This is a great match for roasted and grilled fish, poultry and lighter cheeses."
68,Geytinasmera Gebargu Serriofale Sanomase 2003,Red Wine,Other Red Blends,Austria,"This wine is a blend of 70% Pinot Noir, 25% Riesling, and 5% Gruner Veltliner, aged for 18 months in French oak.  The wine is medium-bodied, with flavors of cherry, currant, and spice.  It is drinkable now, and will cellar well for 2- 3 years."
70,Scrit Estate's Cabernet Sauvignon 2003,Red Wine,Cabernet Sauvignon,"Napa Valley, California","The aromas suggest the depth and depth of this wine enlightened by the nuances of a modern American oak.  The flavors mirror aromas with blackberries and cherries, a touch of vanilla, toasty oak and sweet vanilla.  The mouthfeel is round and supple, with good weight, and a touch of toasty oak."
71,Groigoos Estate Rose 2012,Pink and Rosé,Rosé,"Willamette Valley, Oregon","This vintage is fresh and lively, with ripe strawberries, cherry, and honeysuckle flavors. The mouthfeel is medium-bodied with a pleasing finish.  The wine is a great food companion.  The perfect food companion for summer foods.  fermentation is used in order to retain the fresh acidity.  The wine is aged on the leergic lees for 11 months in order to preserve the natural flavors.  The wine is bottled without fining or filtration, and is then moved to stainless steel tanks for secondary fermentation.  The wine is then racked to neutral wood barrels for an aging period of 9 months before being bottled.  The 2012 Groigoos Rose is an excellent food companion.  This wine is also delicious with grilled fish, poultry, pork, veal, or a creamy pasta dish."
72,Nenpona Entraghle 2013,Red Wine,Other Red Blends,Chile,"Intense, ruby red color. The nose is intense and complex with aromas of ripe fruit such as blackberries, cherries, and blueberries with some spicy notes. The palate is round and well-balanced, with soft and ripe tannins and a persistent finish.. Vibrant, fresh and round on the mouth with soft and ripe tannins, balanced Fugli fruit, good acidity and a touch of pepper."
73,Martink Estate Velpredite Zinfandel Rose 2010,Pink and Rosé,Rosé,"Napa Valley, California","The 2010 Velpredite is a beautiful wine with a lively color and vibrant pink. The aromas are vibrant Calendar: grapefruit, grapefruit, watermelon, strawberry, and citrus zest. On the palate, the wine has flavors of grapefruit, strawberry, tangerine, and spice. The flavors are vivid, fresh, and intense, with the aromas providing the base of the wine. The mouthfeel is soft and supple, with excellent texture, mouth-coating texture, and round mouth-coating. The finish is long and juicy, with an almost sweetly sweet and juicy, lingering finish. The wine has an excellent balance between sweetness and acidity. It is very food-friendly and pairs well with a wide variety of foods, especially with foods with cream sauces, fish, chicken, or pasta in cream sauce."
75,Shantoas Capelloli Cabernet Sauvignon 2012,Red Wine,Cabernet Sauvignon,South Africa,"The wine is a dark ruby red with a violet edge. The aroma offers aromas of fresh cherry and blackberry with light toast notes. The wine is full bodied and round with juicy and well balanced tannins. It is well-integrated with rich and silournal, giving a long finish of ripe fruit and sweet spice."
77,Gollua Vinazis Pinot Gris 2018,White Wine,Pinot Gris/Grigio,"Willamette Valley, Oregon","Aromas of ripe pear, apricot and flinty notes are complemented by flavors of fresh mango, melon, and spice. The mouthfeel is soft and round with a nice mouthwatering finish.  wine mineral notes, and Psychology."
78,Sojal Roipal Chardonnay 2014,White Wine,Chardonnay,"Yamhill-Carlton District, Willamette Valley, Oregon","This wine is a wonderful example of the Sojal style. The aromas offer vibrant aromas of pineapple, tangerine and citrus with subtle mineral undertones. The flavors mirror aromas with fresh grapefruit, key lime and Meyer lemon flavors. The mouthfeel is bright, fresh and juicy with an appealing mouthwatering finish."
80,Stonello des Cabernon Sauvignon 2001,White Wine,Sauvignon Blanc,"Napa Valley, California","SUGGESTED FOOD PAIRINGS: This wine is a perfect companion to a wide variety of foods including shellfish, Asian foods, grilled vegetables, grilled chicken, and pasta dishes with a creamy sauce. This wine pairs well with Mediterranean foods, Asian foods, roasted vegetables, and other vegetable dishes with light sauces."
81,Annentori Mirano Biroro di Barolo 2014,Red Wine,Nebbiolo,"Barolo, Piedmont, Italy","Deep ruby red color. An intense and aromatic wine, reminiscent of the bouquet of violets and cherries. Medium-bodied with fresh acidity and pleasant tannins. Elegant, fruity and well-balanced with a long finish.."
82,Bodegas Tycia Oritasset Minso 2016,Red Wine,Other Red Blends,"Puglia, Italy","This wine is a lively and youthful wine with soft and pleasant tannins. The aromatic profile is characterized by red fruits, cherry and currants. The taste is dry, soft and pleasant with good structure, good acidity and long finish.  aromas and flavors of red fruit and spices. Perfect for a great appetizer."
83,El Vineyards Chardonnay 1997,White Wine,Chardonnay,"Central Coast, California","This wine offers up aromas of white flowers, pear, fig, nutmeg, and honey.  The mouthfeel is medium-bodied with good depth of flavor, a creamy mouthfeel, and a nice mouthfeel of acidity.  The wine is crisp, and fresh with a long, lingering finish.  We recommend matching the aromas and mouthfeel with seafood dishes with fresh fruit flavors and aromas.  Try this wine with shellfish and poultry dishes with fresh lemon or lime flavors."
84,Rustioni Granson Cabernet Sauvignon 1095,Red Wine,Cabernet Sauvignon,Chile,"The Granson Cabernet Sauvignon is a dark ruby-red color. The nose is complex, displaying red fruits, blackberries, cherries and currants with aromas of blackberries and spices. The wine is well-rounded with well-integrated tannins and a fresh, pleasant finish."
85,Benichopi Merlot 1997,Red Wine,Merlot,Italy,"The wine is an ideal companion for grilled meats, veal, veal and medium-aged cheeses, particularly those of the Italian variety, pasta dishes that feature lightly seasoned sauces and roasted vegetables. It is a superb companion to roasted vegetables, game and mild cheeses. , Rob Hunter, Winemaker"
86,Nogtone Bendiane Vinaso 2017,Red Wine,Bordeaux Red Blends,"Mendoza, Argentina","Deep red color with purple hues. On painterly-like on the nose with aromas of blackberries, cherries, and licorice. The palate is well-balanced with round, ripe tannins and sweet, round, ripe fruit flavors with great structure and a lingering finish."
88,Angate Dey Winery Rede Wines Hose Lustit 2003,Red Wine,Other Red Blends,Portugal,"Very deep ruby red in color. Nose offers black fruit, especially black cherries, currants, and blackberries, accompanied by aromas of spices, tobacco, and vanilla. Flavor is round, well-balanced, soft and smooth with good complexity. There is a hint of freshness on the finish."
90,Polles Brotta Rotiondesses Petande 2015,Red Wine,Other Red Blends,"Tuscany, Italy","Ruby red with violet tones. Rich and balanced, with fresh acidity, ripe tannins and a long finish. Aromas of black fruit, blackberries, black cherries and plums, plus mineral notes. A very well-rounded, easy-drinking wine, with sweet and supple tannins, which come together in a balanced wine that has a good structure and an overall impression."
91,Bieras Duda Cresco Pona Labby Morlacce Blancadiono Labonno 2009,White Wine,Other White Blends,"Sicily, Italy",Pale yellow color with greenish reflections.  Very fine aromas of citrus fruit with a touch of white pepper.  Rich and round on the palate with good balance between sweetness and acidity.  Very long and persistent finish.
92,Marchine Tobarito Pasca 2009,Red Wine,Other Red Blends,"Tuscany, Italy","Pasca is a delicious wine, with an aroma that suggests ripe fruits, such as plums, strawberries, cherries and blackberries. The mouthfeel is soft and round, with excellent acidity. The finish is long and pleasant, with soft tannins.  The color is deep ruby red.  The wine is aged in stainless steel tanks, with frequent stirring in order to retain freshness and to add complexity.  Pasca is a blend of 70% Cabernet Sauvignon, 30% Merlot, 15% Sangiovese, 5% Cabernet Franc and 5% Syrah."
93,Tusta's Marsigpalico 2012,Red Wine,Other Red Blends,"Sicily, Italy","Dark ruby red in color with orange highlights. The bouquet is very pleasant with fresh fruit aromas of cherry and blueberries and spices with a hint of vanilla. The taste is soft, well-balanced and fruity with soft tannins and balanced acidity.."
94,Roaden Matio Cabernet Sauvignon 2003,Red Wine,Cabernet Sauvignon,"Napa Valley, California","The wine is medium ruby in color, with a pleasingly ripe nose of black cherries and blackberries. On the palate, the wine is round with juicy, soft, and round tannins. The flavors mirror aromas with hints of vanilla, coffee and a hint of chocolate. The mouthfeel is soft and generous with good acidity that is balanced by good weight and weight on the finish. The wine has medium body and length on the finish with lingering flavors of ripe fruit, cocoa, and oak. omin"
95,Smankels Niyer Cabernet Sauvignon 2000,Red Wine,Cabernet Sauvignon,"Napa Valley, California","Smankels' Niyer Estate Cabernet Sauvignon is a classic example of the varietal. This wine has a medium ruby-red color and a bouquet of spicy oak, blackberries, black cherries and toasty oak. The wine is full-bodied with supple, round tannins and a long finish.  The wine is ready to drink now and will cellar well for at least five years."
96,Auwandory Riserve Chardonnay 2005,White Wine,Chardonnay,"Central Coast, California","Pale straw in color with ripe pear and white peach aromas.  The palate is smooth with vanilla, brown sugar and sweet oak flavors.  A rich mouthfeel with good balance between acidity and sweetness.  with refreshing acidity, the 2005 Riserve Chardonnay has a lingering finish.  It is a versatile unpleasant companion for seafood, chicken, veal, pork tenderloin and creamy pasta dishes."
97,Ravey Estatule Clibing Redige Cambernot Sauvignon Blanc 2015,White Wine,Sauvignon Blanc,"Marlborough, New Zealand","The 2015 Estatule is a blend of the finest blocks from the estate vineyards in the region. A crisp and refreshing wine, offering ripe citrus and grapefruit flavors with a mineral, lees character. It is very drinkable now and will cellar well for the next 2 to 3 years."
98,Friqut Riigne Blanc 2018,White Wine,Other White Blends,"Languedoc, South of France, France","This Blanc de Blancs Blancs Blanc de Blancs is the result of an experimental house style which produces a wine with the same structure, aromatic intensity, and taste. A perfect food companion, it is best enjoyed chilled. This wine will pair well with all seafood, especially lobster, white fish, shellfish in cream sauces, white meat andipation sauces."
